id,surface,path,snippet,legacy_roles,class,target_mapping,risk,status
TEST-0001,test,backend/tests/test_owner_fk_set_null.py:68,"role=UserRole.recruiter,",recruiter,TEST,update fixtures/asserts after mapping,L,open
TEST-0002,test,backend/tests/test_operating_company_slots_e2e.py:48,"role=UserRole.administrator,",administrator,TEST,update fixtures/asserts after mapping,L,open
TEST-0003,test,backend/tests/test_candidate_manager_shadow_write.py:80,"role: UserRole = UserRole.recruiter,",recruiter,TEST,update fixtures/asserts after mapping,L,open
TEST-0004,test,backend/tests/conftest.py:373,"role=UserRole.administrator,",administrator,TEST,update fixtures/asserts after mapping,L,open
TEST-0005,test,backend/tests/conftest.py:382,admin.role = UserRole.administrator,administrator,TEST,update fixtures/asserts after mapping,L,open
TEST-0006,test,backend/tests/conftest.py:396,"role=UserRole.viewer,",viewer,TEST,update fixtures/asserts after mapping,L,open
TEST-0007,test,backend/tests/conftest.py:405,viewer.role = UserRole.viewer,viewer,TEST,update fixtures/asserts after mapping,L,open
TEST-0008,test,backend/tests/conftest.py:419,"role=UserRole.supervisor,",supervisor,TEST,update fixtures/asserts after mapping,L,open
TEST-0009,test,backend/tests/conftest.py:428,supervisor.role = UserRole.supervisor,supervisor,TEST,update fixtures/asserts after mapping,L,open
TEST-0010,test,backend/tests/conftest.py:442,"role=UserRole.recruiter,",recruiter,TEST,update fixtures/asserts after mapping,L,open
TEST-0011,test,backend/tests/conftest.py:452,recruiter.role = UserRole.recruiter,recruiter,TEST,update fixtures/asserts after mapping,L,open
TEST-0012,test,backend/tests/conftest.py:467,"role=UserRole.hr_officer,",hr_officer,TEST,update fixtures/asserts after mapping,L,open
TEST-0013,test,backend/tests/conftest.py:476,hr_officer.role = UserRole.hr_officer,hr_officer,TEST,update fixtures/asserts after mapping,L,open
TEST-0014,test,backend/tests/test_candidate_assignee_history.py:63,"role: UserRole = UserRole.recruiter,",recruiter,TEST,update fixtures/asserts after mapping,L,open
TEST-0015,test,backend/tests/test_uos_vacancy_follow_up_assignee.py:52,"role: UserRole = UserRole.recruiter,",recruiter,TEST,update fixtures/asserts after mapping,L,open
